25時ミク,25-ji miku
フライヤ・クレセント,freija crescent
フレミネ,freminet (genshin impact)
フレンダ=セイヴェルン,frenda seivelun
フレイア・ヴィオン,freyja wion
腓特烈大帝（アズールレーン）,friedrich der grosse (azur lane)
无名朋友（ホロライブ）,friend (nanashi mumei)
フリーレン,frieren
フリーザ（ドラゴンボール）,frieza (dragon ball)
フリスク（UNDERTALE）,frisk (undertale)
霜叶,frostleaf (arknights)
霜星,frostnova (arknights)
ウツホ,frye (splatoon)
フカ,fu hua
云墨丹心,fu hua (azure empyrea)
フカ（浮生・渡世の羽）,fu hua (fenghuang of vicissitude)
フカ（識の律者）,fu hua (herrscher of sentience)
フカ（戦乙女・迅羽）,fu hua (night squire)
フカ（熾鳶）,fu hua (phoenix)
フカ（影騎士・月輪）,fu hua (shadow knight)
フカ（戦乙女・迅羽）,fu hua (valkyrie accipiter)
符玄（崩壊：スターレイル）,fu xuan (honkai  star rail)
吹雪（ブルーアーカイブ）,fubuki (blue archive)
吹雪（艦隊これくしょん）,fubuki (kancolle)
地獄のフブキ,fubuki (one-punch man)
吹雪（水着）（ブルーアーカイブ）,fubuki (swimsuit) (blue archive)
吹雪改二（艦隊これくしょん）,fubuki kai ni (kancolle)
フジキセキ（ウマ娘）,fuji kiseki (umamusume)
藤林杏,fujibayashi kyou
藤林椋,fujibayashi ryou
藤間桜（アイドルマスター シャイニーカラーズ）,fujima sakura
藤丸立香（女性）（Fate/Grand Order）,fujimaru ritsuka (female)
藤丸立香（女性）（ブリリアントサマー）（Fate/Grand Order）,fujimaru ritsuka (female) (brilliant summer)
藤丸立香（女性）（決戦用カルデア制服）（Fate/Grand Order）,fujimaru ritsuka (female) (decisive battle chaldea uniform)
藤丸立香（女性）（極地用カルデア制服）（Fate/Grand Order）,fujimaru ritsuka (female) (polar chaldea uniform)
藤丸立香（男性）（Fate/Grand Order）,fujimaru ritsuka (male)
藤丸立香（男性）（決戦用カルデア制服）（Fate/Grand Order）,fujimaru ritsuka (male) (decisive battle chaldea uniform)
藤丸立香（男性）（極地用カルデア制服）（Fate/Grand Order）,fujimaru ritsuka (male) (polar chaldea uniform)
卷波（艦隊これくしょん）,fujinami (kancolle)
藤乃静留,fujino shizuru
不二咲千寻（ダンガンロンパ）,fujisaki chihiro
藤島慈,fujishima megumi
藤田琴音（学園アイドルマスター）,fujita kotone
藤原千花,fujiwara chika
藤原肇（アイドルマスター シンデレラガールズ）,fujiwara hajime
藤原妹紅（東方Project）,fujiwara no mokou
藤原妹紅（幼少期）,fujiwara no mokou (young)
福江（艦隊これくしょん）,fukae (kancolle)
腐川冬子（ダンガンロンパ）,fukawa toko
福田春（ガールズ＆パンツァー）,fukuda haru
福田法子（アイドルマスター ミリオンライブ！）,fukuda noriko
福路美穂子（咲-Saki-）,fukuji mihoko
福丸小糸（アイドルマスター シャイニーカラーズ）,fukumaru koito
福沢祐巳,fukuzawa yumi
文月（艦隊これくしょん）,fumizuki (kancolle)
船田純,funada kiito
船田初,funada ui
船見結衣,funami yui
キノコン,fungi (genshin impact)
ファンキーコング（ドンキーコング）,funky kong (donkey kong)
ファニー・ヴァレンタイン,funny valentine
フレン・E・ルスタリオ,furen e lustario
フリーナ（原神）,furina (genshin impact)
古手梨花,furude rika
古戸ヱリカ,furudo erika
古河渚,furukawa nagisa
古鹰（艦隊これくしょん）,furutaka (kancolle)
古鹰改二（艦隊これくしょん）,furutaka kai ni (kancolle)
古谷向日葵,furutani himawari
伏黒恵（呪術廻戦）,fushiguro megumi
伏见学（にじさんじ）,fushimi gaku
扶桑（艦隊これくしょん）,fusou (kancolle)
双葉杏（アイドルマスター）,futaba anzu
二葉あおい,futaba aoi (vividred operation)
二葉さな,futaba sana
双海亜美（アイドルマスター）,futami ami
二見瑛理子,futami eriko
双海真美（アイドルマスター）,futami mami
二岩猯蔵（東方Project）,futatsuiwa mamizou
二岩猯蔵（人間）（東方Project）,futatsuiwa mamizou (human)
愛清風香（ブルーアーカイブ）,fuuka (blue archive)
風魔小太郎（Fate）,fuuma kotarou (fate)
ふうま災禍（対魔忍アサギ）,fuuma saika (taimanin asagi)
ふうま時子（対魔忍アサギ）,fuuma tokiko (taimanin asagi)
芙羽ここね,fuwa kokone
不破湊（にじさんじ）,fuwa minato
フワワ・アビスガード,fuwawa abyssgard
フワワ・アビスガード（通常）,fuwawa abyssgard (1st costume)
冬月（艦隊これくしょん）,fuyutsuki (kancolle)
グ・ラハ・ティア,g'raha tia
G11（ドールズフロントライン）,g11 (girls' frontline)
G36（ドールズフロントライン）,g36 (girls' frontline)
G41（ドールズフロントライン）,g41 (girls' frontline)
我愛羅（NARUTO）,gaara (naruto)
天真=ガヴリール=ホワイト,gabriel tenma white
ガイア（FF14）,gaia (ff14)
ガラルポニータ,galarian ponyta
ガレヲン,galleon (granblue fantasy)
蟇郡苛,gamagoori ira
甘比爾湾（艦隊これくしょん）,gambier bay (kancolle)
嘉明,gaming (genshin impact)
我那霸響（アイドルマスター）,ganaha hibiki
甘古特（艦隊これくしょん）,gangut (kancolle)
甘古特Dva（艦隊これくしょん）,gangut dva (kancolle)
ガノンドロフ,ganondorf
甘雨（原神）,ganyu (genshin impact)
玄玉瑶芳,ganyu (twilight blossom) (genshin impact)
ガブリアス,garchomp
サーナイト,gardevoir
ガレン（リーグ・オブ・レジェンド）,garen (league of legends)
ガレス（Fate）,gareth (fate)
ガーネット・ティル・アレクサンドロス17世,garnet til alexandros xvii
ガロッシュ・ヘルスクリーム（World of Warcraft）,garrosh hellscream (world of warcraft)
ギャレス・ヴァカリアン（Mass Effect）,garrus vakarian (mass effect)
我妻由乃,gasai yuno
加斯科涅（アズールレーン）,gascogne (azur lane)
ガヴィル（アークナイツ）,gavial (arknights)
ガビス・ベッテル,gavis bettel
がうるぐら,gawr gura
がうる・ぐら（私服衣装）,gawr gura (casual)
ゲブラー（Project Moon）,gebura (project moon)
ジェネ,gene (pso2)
ジェネティック,genetic (ragnarok online)
ゲンガー,gengar
源氏,genji (overwatch)
ジェノサイダー翔,genocider shou
ジェンティルドンナ（ウマ娘）,gentildonna (umamusume)
ジェンツーペンギン,gentoo penguin (kemono friends)
ジェパード,gepard landau
ルートヴィッヒ,germany (hetalia)
ゲルトルート・バルクホルン,gertrud barkhorn
夏油傑（呪術廻戦）,getou suguru
ゴースト（CoD:MWシリーズ）,ghost (modern warfare 2)
ゴーストミク,ghost miku (project voltage)
ジジ・ムリン,gigi murin
ギルガメッシュ（キャスター）（Fate）,gilgamesh (caster) (fate)
ギルガメッシュ（Fate）,gilgamesh (fate)
ジル・ド・レェ（キャスター）（Fate）,gilles de rais (caster) (fate)
ギネ（ドラゴンボール）,gine (dragon ball)
ギンコ,ginko (mushishi)
ジョルノ・ジョバアーナ,giorno giovanna
サカキ,giovanni (pokemon)
猫了（艦隊これくしょん）,girl holding a cat (kancolle)
ジゼル・ジュエル（BLEACH）,giselle gewelle (bleach)
グレイシア,glaceon
グラディア（アークナイツ）,gladiia (arknights)
グラジオ,gladion (pokemon)
グラムロック・フレディ（Five Nights at Freddy's）,glamrock freddy (five nights at freddy's)
グラウコス,glaucus (arknights)
カギロイ（ゼノブレイド3）,glimmer (xenoblade)
ユウリ（トレーナー）,gloria (pokemon)
ブローディア,godsworn alexiel
ゴジラ,godzilla
ゴジータ（ドラゴンボール）,gogeta (dragon ball)
ゴウ（アニポケ）,goh (pokemon)
五条悟（呪術廻戦）,gojou satoru
五虎退（刀剣乱舞）,gokotai
五更瑠璃,gokou ruri
狱原昆太（ダンガンロンパ）,gokuhara gonta
ゴールドシチー（ウマ娘）,gold city (umamusume)
RUN!乱!ランチャー!!,gold ship (run revolt launcher) (umamusume)
ゴールドシップ（ウマ娘）,gold ship (umamusume)
キンシコウ,golden snub-nosed monkey (kemono friends)
ゴールデングロウ,goldenglow (arknights)
ゴルドマリー,goldmary (fire emblem)
クリボー（マリオシリーズ）,goomba
ゴア・マガラ（モンスターハンター）,gore magala (monster hunter)
ゴルゴーン（Fate）,gorgon (fate)
ゴロー（原神）,gorou (genshin impact)
呉織あぎり,goshiki agiri
哥特蘭（艦隊これくしょん）,gotland (kancolle)
後藤ふたり,gotoh futari
後藤ひとり,gotoh hitori
豪徳寺三花（東方Project）,goutokuji mike
グレース・ハワード,grace howard
斉柏林伯爵（アズールレーン）,graf zeppelin (azur lane)
斉柏林伯爵（艦隊これくしょん）,graf zeppelin (kancolle)
グラン,gran (granblue fantasy)
格拉尼,grani (arknights)
グラスワンダー（ウマ娘）,grass wonder (umamusume)
グラベル（アークナイツ）,gravel (arknights)
グレイ（Fate）,gray (fate)
グレイフィア・ルキフグス,grayfia lucifuge
グレア,grea (shingeki no bahamut)
東北風（艦隊これくしょん）,grecale (kancolle)
ブルー（トレーナー）,green (pokemon)
グレゴール,gregor (project moon)
ゲッコウガ（ポケモン）,greninja (pokemon)
タイリクオオカミ（けものフレンズ）,grey wolf (kemono friends)
グレイモン（デジモン）,greymon (digimon)
グリフィス,griffith (berserk)
グリム・アロエ,grim aloe
ギムレー（ファイアーエムブレム）,grima (fire emblem)
格蕾修,griseo
グリズリー,grizzly mkv (girls' frontline)
サルノリ,grookey
グラードン（ポケモン）,groudon (pokemon)
グルーシャ（トレーナー）,grusha (pokemon)
グイード・ミスタ,guido mista
桂乃芬（崩壊：スターレイル）,guinaifen (honkai  star rail)
GUMI,gumi
古米,gummy (arknights)
郡道美玲（にじさんじ）,gundou mirei
ガンナー,gunner (sekaiju)
グゥオパァー（原神）,guoba (genshin impact)
グレンラガン,gurren-lagann
ガッツ,guts (berserk)
ガイ・セシル（テイルズ オブ ジ アビス）,guy cecil (tales of abyss)
グウェン,gwen (league of legends)
グウェン・ステーシー,gwen stacy
グウェン・テニスン（ベン10）,gwen tennyson (ben 10)
グウェンドリン,gwendolyn (odin sphere)
ジャイロ・ツェペリ,gyro zeppeli
ハベトロット（Fate）,habetrot (fate)
八丈（艦隊これくしょん）,hachijou (kancolle)
八九寺真宵（〈物語〉シリーズ）,hachikuji mayoi
八宮巡（アイドルマスター シャイニーカラーズ）,hachimiya meguru
八王子,hachiouji naoto
ハッカドール3号,hacka doll 3
波动螺卷（僕のヒーローアカデミア）,hado nejire
葉隠康比吕（ダンガンロンパ）,hagakure yasuhiro
荻風（艦隊これくしょん）,hagikaze (kancolle)
萩原雪步（アイドルマスター）,hagiwara yukiho
羽衣ララ,hagoromo lala
羽黒（艦隊これくしょん）,haguro (kancolle)
羽黒改二（艦隊これくしょん）,haguro kai ni (kancolle)
袴田ひなた,hakamada hinata
葉加瀬冬雪（にじさんじ）,hakase fuyuki
ハコス・ベールズ,hakos baelz
箱崎星梨花（アイドルマスター ミリオンライブ！）,hakozaki serika
ハク,haku (p&d)
博衣小夜璃（ホロライブ）,hakui koyori
博衣小夜璃（夏）（ホロライブ）,hakui koyori (summer)
博麗霊夢（東方Project）,hakurei reimu
旧作霊夢,hakurei reimu (pc-98)
浜口菖蒲（アイドルマスター シンデレラガールズ）,hamaguchi ayame
浜風（艦隊これくしょん）,hamakaze (kancolle)
浜波（艦隊これくしょん）,hamanami (kancolle)
哈曼（アズールレーン）,hammann (azur lane)
ハン・ジュリ,han juri
花畑嘉依卡（にじさんじ）,hanabatake chaika
花寺のどか,hanadera nodoka
朝颜花絵（ブルーアーカイブ）,hanae (blue archive)
浦和花子（ブルーアーカイブ）,hanako (blue archive)
花海ことは,hanami kotoha
花海咲季（学園アイドルマスター）,hanami saki
花海佑芽（学園アイドルマスター）,hanami ume
華満らん,hanamichi ran
花村陽介,hanamura yousuke
花咲雅（ホロライブ）,hanasaki miyabi
花咲つぼみ,hanasaki tsubomi
花里実乃理（プロジェクトセカイ）,hanasato minori
花園多恵（BanG Dream!）,hanazono tae
花園ゆりね,hanazono yurine
伴田路子（アイドルマスター ミリオンライブ！）,handa roco
羽川翼（〈物語〉シリーズ）,hanekawa tsubasa
ハンジ・ゾエ（進撃の巨人）,hange zoe (shingeki no kyojin)
埴安神袿姫（東方Project）,haniyasushin keiki
ハンナ・ユスティーナ・マルセイユ,hanna-justina marseille
羽入,hanyuu
ハンゾー（Overwatch）,hanzo (overwatch)
ハッピーミーク,happy meek (umamusume)
原村和（咲-Saki-）,haramura nodoka
小鉤晴（ブルーアーカイブ）,hare (blue archive)
針目縫,harime nui
ハーレイ・クイン,harley quinn
阿赫茉尼,harmonie (arknights)
ハルウララ（ウマ娘）,haru urara (umamusume)
ハル子,haruhara haruko
伊草春香（ブルーアーカイブ）,haruka (blue archive)
春花,haruka (senran kagura)
春川魔姫（ダンガンロンパ）,harukawa maki
春風（艦隊これくしょん）,harukaze (kancolle)
榛名（2016 水着）（艦隊これくしょん）,haruna (2016 swimsuit) (kancolle)
黒館晴奈（ブルーアーカイブ）,haruna (blue archive)
榛名（艦隊これくしょん）,haruna (kancolle)
黒館晴奈（ブルーアーカイブ）,haruna (track) (blue archive)
春野はるか,haruno haruka
春野桜（NARUTO）,haruno sakura
春雨（艦隊これくしょん）,harusame (kancolle)
羽瀬川小鳩,hasegawa kobato
嘴平伊之助（鬼滅の刃）,hashibira inosuke (kimetsu no yaiba)
橋本にゃー,hashimoto nyaa
静謐のハサン（Fate）,hassan of serenity (fate)
八尺様,hasshaku-sama
羽川蓮见（ブルーアーカイブ）,hasumi (blue archive)
羽川蓮见（ブルーアーカイブ）,hasumi (track) (blue archive)
秦心（東方Project）,hata no kokoro
旗風（艦隊これくしょん）,hatakaze (kancolle)
秦谷美鈴（学園アイドルマスター）,hataya misuzu
ミブリム,hatenna
鳩羽つぐ（VTuber）,hatoba tsugu
初春（艦隊これくしょん）,hatsuharu (kancolle)
初風（艦隊これくしょん）,hatsukaze (kancolle)
髪目明（僕のヒーローアカデミア）,hatsume mei
ハツネ（プリコネ）,hatsune (princess connect!)
初音ミク,hatsune miku
初音ミクappend,hatsune miku (append)
初音ミクNT,hatsune miku (nt)
初音ミクV4,hatsune miku (vocaloid4)
初音ミクオ,hatsune mikuo
初霜（艦隊これくしょん）,hatsushimo (kancolle)
初鳥創,hatsutori hajime
初雪（艦隊これくしょん）,hatsuyuki (kancolle)
初月（艦隊これくしょん）,hatsuzuki (kancolle)
ホークス,hawks (boku no hero academia)
早川アキ,hayakawa aki
駿川たづな,hayakawa tazuna
速水奏（アイドルマスター シンデレラガールズ）,hayami kanade
早波（艦隊これくしょん）,hayanami (kancolle)
早坂愛,hayasaka ai
早霜（艦隊これくしょん）,hayashimo (kancolle)
早潮（艦隊これくしょん）,hayashio (kancolle)
速吸（艦隊これくしょん）,hayasui (kancolle)
ハザマ,hazama
葉月恋,hazuki ren
平安名すみれ,heanna sumire
ヘザー・メイソン,heather mason
重巡夏姫（艦隊これくしょん）,heavy cruiser princess
ヘカーティア・ラピスラズリ,hecatia lapislazuli
ヘクトール（Fate）,hector (fate)
ヒイロ・ユイ,heero yuy
黒（DARKER THAN BLACK）,hei (darker than black)
ハイデマリー・W・シュナウファー,heidimarie w. schnaufer
ハインリーケ・プリンツェシン・ツー・ザイン・ウィトゲンシュタ,heinrike prinzessin zu sayn-wittgenstein
平和島静雄,heiwajima shizuo
ヘレナ（アズールレーン）,helena (azur lane)
ヘレナ（艦隊これくしょん）,helena (kancolle)
エレナ・ブラヴァツキー（Fate）,helena blavatsky (fate)
ヘルエス,heles
赫麗安,helianthus (girls' frontline)
キティ,hello kitty (character)
ヘルム（勝利の女神:NIKKE）,helm (nikke)
アンリエッタ・ド・トリステイン,henrietta de tristain
へにゃ・ざ・じーにあす,henya the genius
ハーマイオニー・グレンジャー,hermione granger
勇者（DQ3）,hero (dq3)
主人公（DQ5）,hero (dq5)
ヒロ（OMORI）,hero (omori)
グランバニア王女,hero's daughter (dq5)
化之あだみ,heroine (homicipher)
ヘルタ（崩壊：スターレイル）,herta (honkai  star rail)
へし切長谷部（刀剣乱舞）,heshikiri hasebe
ヘスティア,hestia (danmachi)
オカルトマニア,hex maniac (pokemon)
雲雀,hibari (senran kagura)
猫塚響（ブルーアーカイブ）,hibiki (blue archive)
猫塚響（ブルーアーカイブ）,hibiki (cheer squad) (blue archive)
響（艦隊これくしょん）,hibiki (kancolle)
響良牙,hibiki ryouga
響裕太,hibiki yuuta
芙蓉,hibiscus (arknights)
稗田阿求（東方Project）,hieda no akyuu
比叡（艦隊これくしょん）,hiei (kancolle)
法皇の緑（ハイエロファントグリーン）,hierophant green
日富美（ブルーアーカイブ）,hifumi (blue archive)
日富美（水着）（ブルーアーカイブ）,hifumi (swimsuit) (blue archive)
東せつな,higashi setsuna
東方仗助,higashikata josuke
東山コベニ,higashiyama kobeni
髭切,higekiri (touken ranbu)
妖精弓手,high elf archer (goblin slayer!)
ハイプリースト,high priest (ragnarok online)
樋口楓（にじさんじ）,higuchi kaede
樋口楓（通常）,higuchi kaede (1st costume)
樋口円香（アイドルマスター シャイニーカラーズ）,higuchi madoka
日暮かごめ,higurashi kagome
柊鏡（らき☆すた）,hiiragi kagami
柊シノア,hiiragi shinoa
柊司（らき☆すた）,hiiragi tsukasa
柊うてな,hiiragi utena
柊柚子,hiiragi yuzu
聖あげは,hijiri ageha
聖白蓮（東方Project）,hijiri byakuren
日影,hikage (senran kagura)
氷上スミレ,hikami sumire
橘 光（ブルーアーカイブ）,hikari (blue archive)
冰川日菜（BanG Dream!）,hikawa hina
氷川いおな,hikawa iona
冰川紗夜（BanG Dream!）,hikawa sayo
トウヤ（トレーナー）,hilbert (pokemon)
トウコ（トレーナー）,hilda (pokemon)
ヒルダ=ヴァレンティン=ゴネリル,hilda valentine goneril
ヒルド（Fate）,hildr (fate)
ヒルチャール,hilichurl (genshin impact)
明星日鞠（ブルーアーカイブ）,himari (blue archive)
姫島朱乃（ハイスクールD×D）,himejima akeno
姫海棠羽立（東方Project）,himekaidou hatate
姫子（崩壊：スターレイル）,himeko (honkai  star rail)
姫宮千歌音,himemiya chikane
姫宮桃李,himemiya tori
姫森ルーナ,himemori luna
姫森ルーナ（通常）,himemori luna (1st costume)
姫森ルーナ（ワンピース衣装）,himemori luna (sundress)
姫野,himeno (chainsaw man)
姫柊雪菜,himeragi yukina
姫坂乃愛,himesaka noa
姫崎莉波（学園アイドルマスター）,himesaki rinami
辛美爾（葬送のフリーレン）,himmel (sousou no frieren)
緋村剣心,himura kenshin
空崎日奈（ブルーアーカイブ）,hina (blue archive)
空崎日奈（ドレス）（ブルーアーカイブ）,hina (dress) (blue archive)
妃娜（ガールズバンドクライ）,hina (girls band cry)
空崎日奈（ブルーアーカイブ）,hina (pajamas) (blue archive)
空崎日奈（水着）（ブルーアーカイブ）,hina (swimsuit) (blue archive)
雛苺（ローゼンメイデン）,hinaichigo (rozen maiden)
比那名居天子（東方Project）,hinanawi tenshi
若葉日向（ブルーアーカイブ）,hinata (blue archive)
若葉日向（水着）（ブルーアーカイブ）,hinata (swimsuit) (blue archive)
日向创（ダンガンロンパ）,hinata hajime
日向夏帆,hinata kaho
日向夏美,hinata natsumi
日向翔陽,hinata shouyou
陽夏木ミカン,hinatsuki mikan
雛鶴あい,hinatsuru ai
兴登堡（アズールレーン）,hindenburg (azur lane)
日野茜（アイドルマスター）,hino akane (idolmaster)
日野 あかね（プリキュア）,hino akane (smile precure!)
火野麗（美少女戦士セーラームーン）,hino rei
ヒノエ,hinoa
ヒノカ,hinoka (fire emblem)
日野森志步（プロジェクトセカイ）,hinomori shiho
日野森雫（プロジェクトセカイ）,hinomori shizuku
日野下花帆,hinoshita kaho
火威青（ホロライブ）,hiodoshi ao
カバ（けものフレンズ）,hippopotamus (kemono friends)
平賀才人,hiraga saito
平沢憂,hirasawa ui
平沢唯,hirasawa yui
平戸（艦隊これくしょん）,hirato (kancolle)
ヒロ（ダーリン・イン・ザ・フランキス）,hiro (darling in the franxx)
広井菊里（ぼっち・ざ・ろっく！）,hiroi kikuri
広瀬康一,hirose koichi
広瀬康穂,hirose yasuho
飛龍（艦隊これくしょん）,hiryuu (kancolle)
久石奏,hisaishi kanade
久川飒（アイドルマスター シンデレラガールズ）,hisakawa hayate
久川凪（アイドルマスター シンデレラガールズ）,hisakawa nagi
ひさ子（Angel Beats!）,hisako fuchida (angel beats!)
久宇舞弥（Fate/Zero）,hisau maiya
ヒシアケボノ（ウマ娘）,hishi akebono (umamusume)
ヒシミラクル（ウマ娘）,hishi miracle (umamusume)
菱川六花,hishikawa rikka
翡翠,hisui (tsukihime)
常陸茉子,hitachi mako
ヒトミ,hitomi (doa)
一柳梨璃,hitotsuyanagi riri
日番谷冬獅郎（BLEACH）,hitsugaya toushirou (bleach)
槌永日和（ブルーアーカイブ）,hiyori (blue archive)
槌永日和（水着）（ブルーアーカイブ）,hiyori (swimsuit) (blue archive)
飛鹰（艦隊これくしょん）,hiyou (kancolle)
HK416（ドールズフロントライン）,hk416 (black kitty's gift) (girls' frontline)
HK416（ドールズフロントライン）,hk416 (girls' frontline)
ホルハイヤ,ho'olheyak (arknights)
ホウオウ（ポケモン）,ho-oh (pokemon)
ホド,hod (project moon)
北条加蓮,hojo karen
ホッコータルマエ（ウマ娘）,hokko tarumae (umamusume)
ホロ,holo
焔（閃乱カグラ）,homura (senran kagura)
本田未央（アイドルマスター シンデレラガールズ）,honda mio
骨喰藤四郎,honebami toushirou
紅美玲（東方Project）,hong meiling
本間向日葵（にじさんじ）,honma himawari
本間芽衣子,honma meiko
ほのか（DOA）,honoka (doa)
ホノルル（アズールレーン）,honolulu (azur lane)
Honolulu（艦隊これくしょん）,honolulu (kancolle)
ホップ（トレーナー）,hop (pokemon)
ハネッコ,hoppip
堀裕子（アイドルマスター シンデレラガールズ）,hori yuko
堀川雷鼓（東方Project）,horikawa raiko
ホロケウカムイ（東京放課後サモナーズ）,horkeu kamui (tokyo afterschool summoners)
ホルン,horn (arknights)
大黄蜂（アズールレーン）,hornet (azur lane)
大黄蜂（艦隊これくしょん）,hornet (kancolle)
オルテンシア,hortensia (fire emblem)
星輝子（アイドルマスター シンデレラガールズ）,hoshi syoko
星熊,hoshiguma (arknights)
星熊勇仪（東方Project）,hoshiguma yuugi
星熊勇仪（東方Project）,hoshiguma yuugi (kimono)
星井美希（アイドルマスター）,hoshii miki
星川リリィ,hoshikawa lily
星川サラ,hoshikawa sara
星街彗星（ホロライブ）,hoshimachi suisei
星街彗星（初期衣装）（ホロライブ）,hoshimachi suisei (1st costume)
星街彗星（私服）（ホロライブ）,hoshimachi suisei (casual)
星街彗星（ホロライブ）,hoshimachi suisei (school uniform)
星見純那,hoshimi junna
星見雅,hoshimi miyabi
星宮いちご,hoshimiya ichigo
星宮ケイト,hoshimiya kate
星奈光（プリキュア）,hoshina hikaru
保科智子,hoshina tomoko
星野（ブルーアーカイブ）,hoshino (blue archive)
星野（ブルーアーカイブ）,hoshino (first year) (blue archive)
星野（水着）（ブルーアーカイブ）,hoshino (swimsuit) (blue archive)
星野アイ（【推しの子】）,hoshino ai (oshi no ko)
星野アクア,hoshino aquamarine
ホシノ・フミナ,hoshino fumina
星野ひなた,hoshino hinata
星乃一歌（プロジェクトセカイ）,hoshino ichika (project sekai)
星野みやこ,hoshino miyako (wataten)
星野ルビー,hoshino ruby
ホシノ・ルリ,hoshino ruri
ほしのゆめみ（planetarian）,hoshino yumemi (planetarian)
星空育代,hoshizora ikuyo
星空みゆき,hoshizora miyuki
星空凛,hoshizora rin
保登心愛,hoto cocoa
北条響,houjou hibiki
北条沙都子,houjou satoko
北条悟史,houjou satoshi
Houjou・Tokiyuki（Nige・Jouzu・の・Wakagimi）,houjou tokiyuki (nige jouzu no wakagimi)
封兽鵺（東方Project）,houjuu nue
鳳聯藪雨,houlen yabusame
ヘルガー（ポケモン）,houndoom (pokemon)
鳳凰寺風,hououji fuu
蓬莱人偶（東方Project）,hourai doll
蓬莱山輝夜（東方Project）,houraisan kaguya
凤翔（艦隊これくしょん）,houshou (kancolle)
宝鐘マリン（ホロライブ）,houshou marine
宝鐘マリン（ビジネスウーマン）（ホロライブ）,houshou marine (businesswoman)
宝鐘瑪琳（ゴシックロリータ）（VTuber）,houshou marine (gothic lolita)
宝鐘瑪琳（marching バンド）（VTuber）,houshou marine (marching band)
宝鐘マリン（水着）,houshou marine (summer)
休斯敦（艦隊これくしょん）,houston (kancolle)
Howl（Howl・の・Ugoku・Shiro）,howl (howl no ugoku shiro)
穂月かえで,hozuki kaede
穂月もみじ,hozuki momiji
Hu・Tao（Cherries・Snow・Laden）（原神）,hu tao (cherries snow-laden) (genshin impact)
胡桃（原神）,hu tao (genshin impact)
花城,hua cheng
ホァン・パオリン,huang baoling
凰鈴音,huang lingyin
ヒューベルトフォンべストラ,hubert von vestra
Hulk（Marvel）,hulk (marvel)
ハミィ,hummy (suite precure)
吽,hung (arknights)
エリザベータ・ヘーデルヴァーリ,hungary (hetalia)
Huohuo（崩壊：スターレイル）,huohuo (honkai  star rail)
壱百満天原サロメ（にじさんじ）,hyakumantenbara salome
ヒュトロダエウス,hythlodaeus
日向（艦隊これくしょん）,hyuuga (kancolle)
日向花火（NARUTO）,hyuuga hanabi (naruto)
日向雛田（NARUTO）,hyuuga hinata
日向寧次（NARUTO）,hyuuga neji (naruto)
I-168（艦隊これくしょん）,i-168 (kancolle)
I-19（艦隊これくしょん）,i-19 (kancolle)
I-203（艦隊これくしょん）,i-203 (kancolle)
I-26（艦隊これくしょん）,i-26 (kancolle)
I-401（艦隊これくしょん）,i-401 (kancolle)
I-47（艦隊これくしょん）,i-47 (kancolle)
I-58（艦隊これくしょん）,i-58 (kancolle)
I-8（艦隊これくしょん）,i-8 (kancolle)
駆逐イ级（艦隊これくしょん）,i-class destroyer
I・の,i-no
イア,ia (vocaloid)
イヴ（Ib）,ib (ib)
伊原摩耶花,ibara mayaka
茨木童子（Fate）,ibaraki douji (fate)
茨木童子（水着ランサー）（Fate）,ibaraki douji (swimsuit lancer) (fate)
茨木華扇（東方Project）,ibaraki kasen
丹花伊吹（ブルーアーカイブ）,ibuki (blue archive)
いぶき,ibuki (street fighter)
伊吹童子（Fate）,ibuki douji (fate)
伊吹萃香（東方Project）,ibuki suika
伊吹翼（アイドルマスター）,ibuki tsubasa
市谷有咲（BanG Dream!）,ichigaya arisa
市原仁奈（アイドルマスター）,ichihara nina
櫟井唯,ichii yui
Ichijou・Hotaru,ichijou hotaru
Ichijou・Ririka,ichijou ririka
仲正一花（ブルーアーカイブ）,ichika (blue archive)
市川雛菜（アイドルマスター）,ichikawa hinana
市川京太郎,ichikawa kyoutarou
一ノ瀬ことみ,ichinose kotomi
一之瀬みのり,ichinose minori
一之瀬志希（アイドルマスター）,ichinose shiki
一ノ瀬うるは,ichinose uruha
イデア・シュラウド,idia shroud
Idw（ドールズフロントライン）,idw (girls' frontline)
家入硝子（呪術廻戦）,ieiri shoko
アイエフ,if (neptunia)
伊芙利特,ifrit (arknights)
Igarashi・Futaba（Shiromanta）,igarashi futaba (shiromanta)
五十嵐響子（アイドルマスター）,igarashi kyoko
五十嵐梨花,igarashi rika
井河アサギ,igawa asagi
井河さくら,igawa sakura
イグニス・スキエンティア,ignis scientia
饭田天哉（僕のヒーローアカデミア）,iida tenya
伊井野ミコ,iino miko
饭纲丸龍（東方Project）,iizunamaru megumu
伊地知虹夏（ぼっち・ざ・ろっく！）,ijichi nijika
伊地知星歌（ぼっち・ざ・ろっく！）,ijichi seika
イカ娘,ikamusume
碇シンジ,ikari shinji
イカロス,ikaros
斑鳩（閃乱カグラ）,ikaruga (senran kagura)
斑鸠路加（アイドルマスター シャイニーカラーズ）,ikaruga luca
雷（艦隊これくしょん）,ikazuchi (kancolle)
アイク（ファイアーエムブレム）,ike (fire emblem)
Ike・Eveland,ike eveland
池袋晶葉（アイドルマスター）,ikebukuro akiha
池沢華子,ikezawa hanako
イクノディクタス（ウマ娘）,ikuno dictus (umamusume)
